time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-06-16T22:57:19.845Z,-21.6394,-68.579,138.768,4.1,mb,11,158,0.636,0.32,us,us7000msvv,2024-06-16T23:10:32.040Z,"56 km SW of Ollagüe, Chile",earthquake,9.28,16.554,0.235,5,reviewed,us,us
2024-06-16T22:20:32.460Z,51.8878333333333,178.101333333333,5.63,2.76,ml,8,309,0.2611,0.1,av,av93167126,2024-06-17T04:00:04.570Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,1.8,0.78,0.249625346447121,7,reviewed,av,av
2024-06-16T22:15:11.240Z,51.8736666666667,178.139666666667,6.59,3.65,ml,11,304,0.2421,0.14,av,av93167111,2024-06-17T03:45:08.610Z,"Rat Islands, Aleutian Islands, Alaska",earthquake,1.28,0.97,0.264600103456638,11,reviewed,av,av
2024-06-16T21:17:18.982Z,18.8345,145.7159,194.39,4.8,mb,93,80,3.574,0.85,us,us7000msvf,2024-06-16T22:17:19.593Z,"Pagan region, Northern Mariana Islands",earthquake,6.57,6.986,0.046,147,reviewed,us,us
2024-06-16T19:36:53.338Z,31.662,-104.301,7.0227,2.7,ml,35,67,0,0.2,tx,tx2024lupx,2024-06-17T18:52:58.608Z,"57 km S of Whites City, New Mexico",earthquake,0.7456281914790373,0.9255246599037473,0.2,27,reviewed,tx,tx
2024-06-16T18:47:44.392Z,31.68,-104.394,4.9207,3.7,ml,38,65,0,0.2,tx,tx2024luod,2024-06-16T21:00:19.175Z,"54 km S of Whites City, New Mexico",earthquake,0.8307429338135821,0.9417468939282179,0.2,30,reviewed,tx,tx
2024-06-16T18:46:54.387Z,31.678,-104.393,4.9207,2.5,ml,28,68,0,0.2,tx,tx2024luoe,2024-06-17T17:19:02.956Z,"55 km S of Whites City, New Mexico",earthquake,0.8427900467373448,1.0118322852376418,0.2,22,reviewed,tx,tx
2024-06-16T18:06:28.284Z,-20.5635,-68.8305,116.232,4.4,mb,23,76,0.778,0.69,us,us7000msuk,2024-06-16T18:25:41.040Z,"89 km ESE of La Tirana, Chile",earthquake,5.47,6.382,0.13,17,reviewed,us,us
2024-06-16T17:32:12.628Z,-1.9654,-77.6947,12.767,4.4,mb,33,124,0.574,0.46,us,us7000msuc,2024-06-16T18:19:14.040Z,"41 km SE of Palora, Ecuador",earthquake,5.06,2.827,0.117,21,reviewed,us,us
2024-06-16T17:24:52.696Z,38.2564,37.7682,10,4.3,mwr,63,37,0.386,0.69,us,us7000msu9,2024-06-16T18:37:16.612Z,"19 km WSW of Akçadağ, Turkey",earthquake,1.24,1.879,0.042,54,reviewed,us,us
2024-06-16T17:05:24.642Z,59.6922,-151.5683,55.7,2.6,ml,,,,0.2,ak,ak0247q4fsq8,2024-06-16T17:14:38.040Z,"1 km NNW of Diamond Ridge, Alaska",earthquake,,0.6,,,automatic,ak,ak
2024-06-16T16:59:52.030Z,18.4138333333333,-66.31,58.58,2.95,md,19,180,0.1071,0.11,pr,pr71452848,2024-06-16T17:33:05.970Z,"2 km E of Vega Alta, Puerto Rico",earthquake,0.55,0.49,0.0836284968408532,10,reviewed,pr,pr
2024-06-16T16:53:14.583Z,57.8425,-156.2909,140.3,2.5,ml,,,,0.17,ak,ak0247q44mpu,2024-06-16T17:20:36.040Z,"75 km ENE of Ugashik, Alaska",earthquake,,1.9,,,automatic,ak,ak
